Date,machine_hours,idle_percentage,operating_percentage,total_fuel,gal_hour,Shovel
2025-05-04,11.747,11.0,89.0,104.0,8.8533,CAT 336-8
2025-05-03,8.042,17.0,83.0,68.0,8.4556,CAT 336-8
2025-05-02,9.628,19.0,81.0,80.0,8.3091,CAT 336-8
2025-05-01,7.634,16.0,84.0,65.25,8.5473,CAT 336-8
2025-04-30,6.741,28.0,72.0,51.0,7.5656,CAT 336-8
2025-04-29,0.937,16.0,84.0,7.3749,7.8707,CAT 336-8
2025-04-26,5.771,13.0,87.0,49.3751,8.5557,CAT 336-8
2025-04-25,9.294,26.0,74.0,70.2499,7.5586,CAT 336-8
2025-04-24,14.32,26.0,74.0,102.1249,7.1316,CAT 336-8
2025-04-23,9.112,24.0,76.0,69.6249,7.641,CAT 336-8
2025-04-22,7.091,41.0,59.0,42.8749,6.0464,CAT 336-8
2025-04-21,4.847,18.0,82.0,39.8749,8.2267,CAT 336-8
2025-04-20,9.003,16.0,84.0,78.625,8.7332,CAT 336-8
2025-04-19,14.112,26.0,74.0,109.75,7.7771,CAT 336-8
2025-04-18,8.675,16.0,84.0,74.375,8.5735,CAT 336-8
2025-04-17,8.658,23.0,77.0,68.5001,7.9118,CAT 336-8
2025-04-16,9.138,11.0,89.0,84.375,9.2334,CAT 336-8
2025-04-15,7.198,17.0,83.0,62.375,8.6656,CAT 336-8
2025-04-14,9.474,18.0,82.0,75.625,7.9824,CAT 336-8
2025-04-13,18.549,30.0,70.0,129.7499,6.995,CAT 336-8
2025-04-12,18.944,31.0,69.0,128.9999,6.8095,CAT 336-8
2025-04-11,11.577,29.0,71.0,79.375,6.8563,CAT 336-8
2025-04-10,8.674,25.0,75.0,61.2499,7.0613,CAT 336-8
2025-04-09,9.024,39.0,61.0,57.25,6.3442,CAT 336-8
2025-04-08,8.839,21.0,79.0,70.2499,7.9477,CAT 336-8
2025-04-07,8.207,32.0,68.0,56.0,6.8234,CAT 336-8
2025-04-06,18.584,15.0,85.0,162.25,8.7306,CAT 336-8
2025-04-05,18.897,18.0,82.0,158.9998,8.414,CAT 336-8
2025-04-04,6.334,9.0,91.0,58.75,9.2753,CAT 336-8
2025-04-02,2.445,20.0,80.0,19.3749,7.9243,CAT 336-8
2025-04-01,5.014,29.0,71.0,82.875,16.5287,CAT 336-8
2025-03-31,12.645,16.0,84.0,57.375,4.5374,CAT 336-8
2025-03-30,15.46,25.0,75.0,126.4998,8.1824,CAT 336-8
2025-03-29,11.77,24.0,76.0,89.3749,7.5935,CAT 336-8
2025-03-28,13.154,28.0,72.0,96.4999,7.3362,CAT 336-8
2025-03-27,22.621,22.0,78.0,191.875,8.4822,CAT 336-8
2025-03-26,13.714,32.0,68.0,138.4998,10.0992,CAT 336-8
2025-03-25,14.366,11.0,89.0,80.3749,5.5948,CAT 336-8
2025-03-24,9.329,18.0,82.0,76.5,8.2002,CAT 336-8
2025-03-23,9.457,25.0,75.0,77.6248,8.2082,CAT 336-8
2025-03-22,9.493,33.0,67.0,67.875,7.15,CAT 336-8
2025-03-21,9.223,35.0,65.0,66.625,7.2238,CAT 336-8
2025-03-20,14.535,37.0,63.0,148.2499,10.1995,CAT 336-8
2025-03-19,21.244,28.0,72.0,116.2499,5.4721,CAT 336-8
2025-03-18,12.243,29.0,71.0,96.1248,7.8514,CAT 336-8
2025-03-17,10.107,23.0,77.0,83.8749,8.2987,CAT 336-8
2025-03-16,1.019,59.0,41.0,3.1249,3.0666,CAT 336-8
2025-03-15,3.325,29.0,71.0,24.75,7.4436,CAT 336-8
