Date,operating_hours,idle_hours,total_fuel,gal_hour,Shovel
2024-01-01,0.0,0.0,0.0,,KOM 390-9
2024-01-01,0.0,0.0,0.0,,KOM 390-4
2024-01-02,7.5,1.2,74.6,8.5,KOM 390-4
2024-01-02,0.0,0.0,0.0,,KOM 390-9
2024-01-03,0.0,0.0,0.0,,KOM 390-9
2024-01-03,16.3,2.2,167.3,9.0,KOM 390-4
2024-01-04,16.1,2.6,162.9,8.7,KOM 390-4
2024-01-04,0.0,0.0,0.0,,KOM 390-9
2024-01-05,16.8,2.1,172.9,9.1,KOM 390-4
2024-01-05,0.0,0.0,0.0,,KOM 390-9
2024-01-06,16.4,2.5,169.1,8.9,KOM 390-4
2024-01-06,9.6,1.3,96.9,8.8,KOM 390-9
2024-01-07,5.0,0.8,51.2,8.7,KOM 390-9
2024-01-07,3.9,1.2,41.3,7.9,KOM 390-4
2024-01-08,7.5,1.8,72.6,7.7,KOM 390-9
2024-01-08,12.7,1.7,122.9,8.5,KOM 390-4
2024-01-09,8.2,2.9,79.7,7.2,KOM 390-9
2024-01-09,13.8,2.6,131.8,8.0,KOM 390-4
2024-01-10,14.5,3.8,136.5,7.4,KOM 390-9
2024-01-10,12.6,1.5,121.8,8.6,KOM 390-4
2024-01-11,12.2,4.5,116.5,6.9,KOM 390-9
2024-01-11,12.4,2.3,121.3,8.2,KOM 390-4
2024-01-12,5.1,3.0,45.9,5.6,KOM 390-9
2024-01-12,17.8,2.1,169.3,8.4,KOM 390-4
2024-01-13,15.9,2.2,156.1,8.6,KOM 390-4
2024-01-13,12.2,3.9,113.0,6.9,KOM 390-9
2024-01-14,9.8,0.9,90.5,8.4,KOM 390-9
2024-01-14,12.7,1.5,125.5,8.8,KOM 390-4
2024-01-15,13.6,1.5,134.4,8.8,KOM 390-4
2024-01-15,12.7,1.9,120.4,8.2,KOM 390-9
2024-01-16,18.2,2.8,155.7,7.4,KOM 390-9
2024-01-16,17.1,2.1,174.0,9.0,KOM 390-4
2024-01-17,17.1,1.6,174.6,9.3,KOM 390-4
2024-01-17,15.3,3.6,146.7,7.7,KOM 390-9
2024-01-18,17.0,2.2,174.9,9.1,KOM 390-4
2024-01-18,16.2,2.6,151.6,8.0,KOM 390-9
2024-01-19,16.9,1.5,168.8,9.1,KOM 390-4
2024-01-19,14.6,4.4,143.2,7.5,KOM 390-9
2024-01-20,16.4,2.0,162.6,8.8,KOM 390-4
2024-01-20,13.2,5.6,132.0,7.0,KOM 390-9
2024-01-21,11.6,2.0,116.8,8.5,KOM 390-4
2024-01-21,10.2,3.6,100.1,7.2,KOM 390-9
2024-01-22,11.9,2.2,120.3,8.5,KOM 390-4
2024-01-22,10.8,3.7,106.1,7.2,KOM 390-9
2024-01-23,14.5,4.2,146.2,7.8,KOM 390-4
2024-01-23,13.0,5.6,131.0,7.0,KOM 390-9
2024-01-24,17.7,1.3,178.2,9.3,KOM 390-4
2024-01-24,14.5,4.2,140.9,7.5,KOM 390-9
2024-01-25,13.7,5.1,133.0,7.1,KOM 390-9
2024-01-25,17.0,1.8,170.9,9.0,KOM 390-4
2024-01-26,13.0,5.7,126.0,6.7,KOM 390-9
2024-01-26,16.5,2.1,162.4,8.7,KOM 390-4
2024-01-27,12.9,5.9,130.9,6.9,KOM 390-9
2024-01-27,16.1,2.5,164.4,8.8,KOM 390-4
2024-01-28,7.9,5.9,78.0,5.6,KOM 390-9
2024-01-28,9.2,1.1,91.0,8.7,KOM 390-4
2024-01-29,11.4,2.7,111.7,7.9,KOM 390-4
2024-01-29,11.8,2.7,120.9,8.3,KOM 390-9
2024-01-30,11.9,5.4,123.4,7.1,KOM 390-9
2024-01-30,11.5,4.9,110.1,6.7,KOM 390-4
2024-01-31,14.4,4.1,143.5,7.7,KOM 390-9
2024-01-31,11.3,6.2,112.3,6.4,KOM 390-4
2024-02-01,13.2,2.1,132.0,8.6,KOM 390-4
2024-02-01,12.3,2.9,125.2,8.2,KOM 390-9
2024-02-02,8.0,2.7,80.9,7.5,KOM 390-9
2024-02-02,10.9,1.2,110.4,9.0,KOM 390-4
2024-02-03,9.9,1.5,99.5,8.7,KOM 390-9
2024-02-03,9.8,1.5,97.1,8.5,KOM 390-4
2024-02-04,12.7,1.0,125.3,9.0,KOM 390-4
2024-02-04,10.0,3.4,103.7,7.7,KOM 390-9
2024-02-05,12.7,1.1,131.5,9.4,KOM 390-4
2024-02-05,11.8,1.4,119.8,9.0,KOM 390-9
2024-02-06,17.0,1.8,172.7,9.2,KOM 390-9
2024-02-06,17.6,1.2,177.7,9.4,KOM 390-4
2024-02-07,9.4,3.4,96.1,7.5,KOM 390-9
2024-02-07,11.0,2.3,108.4,8.1,KOM 390-4
2024-02-08,14.3,1.3,142.9,9.1,KOM 390-4
2024-02-08,13.4,2.0,136.6,8.8,KOM 390-9
2024-02-09,15.4,1.8,152.8,8.8,KOM 390-4
2024-02-09,16.1,1.7,166.8,9.3,KOM 390-9
2024-02-10,17.6,1.4,174.0,9.1,KOM 390-4
2024-02-10,8.9,1.1,93.2,9.2,KOM 390-9
2024-02-11,12.9,1.0,130.5,9.3,KOM 390-4
2024-02-11,13.0,1.0,131.5,9.3,KOM 390-9
2024-02-12,13.4,0.9,131.9,9.2,KOM 390-9
2024-02-12,13.1,1.1,130.8,9.1,KOM 390-4
2024-02-13,17.6,1.6,173.4,9.0,KOM 390-9
2024-02-13,17.7,1.8,170.4,8.7,KOM 390-4
2024-02-14,16.8,1.2,165.2,9.1,KOM 390-9
2024-02-14,16.3,1.8,158.7,8.7,KOM 390-4
2024-02-15,17.8,1.3,172.7,9.0,KOM 390-9
2024-02-15,17.7,1.5,171.1,8.8,KOM 390-4
2024-02-16,18.0,1.3,173.6,8.9,KOM 390-4
2024-02-16,13.4,1.2,137.2,9.3,KOM 390-9
2024-02-17,7.4,0.4,74.3,9.4,KOM 390-9
2024-02-17,17.4,1.5,166.0,8.7,KOM 390-4
2024-02-18,13.0,1.1,125.1,8.8,KOM 390-4
2024-02-18,12.0,1.1,119.6,9.0,KOM 390-9
2024-02-19,13.2,1.4,137.1,9.3,KOM 390-9
2024-02-19,13.9,0.7,140.8,9.6,KOM 390-4
2024-02-20,15.5,0.8,155.1,9.4,KOM 390-4
