Shovel,Cod,Sumvol,Start,End,Time_span,Performance,Date,Shovel_Type
CAT 320-1,10CAT1,105,2024-03-30 15:08:02.000000000,2024-03-30 15:45:41,0 days 00:37:39,167.33067729083666,2024-03-30,CAT 320
CAT 320-1,11CAT1,30,2024-04-04 20:59:52.000000000,2024-04-04 21:08:41,0 days 00:08:49,204.15879017013233,2024-04-04,CAT 320
CAT 320-1,12CAT1,85,2024-04-16 09:07:23.000000000,2024-04-16 09:31:57,0 days 00:24:34,207.59837177747625,2024-04-16,CAT 320
CAT 320-1,13CAT1,286,2024-04-22 13:40:00.000000000,2024-04-22 15:34:00,0 days 01:54:00,150.52631578947367,2024-04-22,CAT 320
CAT 320-1,14CAT1,15,2024-04-27 15:10:59.000000000,2024-04-27 15:17:03,0 days 00:06:04,148.35164835164835,2024-04-27,CAT 320
CAT 320-1,15CAT1,60,2024-05-03 07:56:24.000000000,2024-05-03 08:19:41,0 days 00:23:17,154.61703650680028,2024-05-03,CAT 320
CAT 320-1,16CAT1,75,2024-06-18 08:33:31.000000000,2024-06-18 09:06:52,0 days 00:33:21,134.93253373313343,2024-06-18,CAT 320
CAT 320-1,17CAT1,24,2024-08-29 16:14:02.000000000,2024-08-29 16:18:20,0 days 00:04:18,334.8837209302326,2024-08-29,CAT 320
CAT 320-1,1CAT1,207,2024-02-26 13:51:53.000000000,2024-02-26 14:58:11,0 days 01:06:18,187.33031674208144,2024-02-26,CAT 320
CAT 320-1,2CAT1,105,2024-02-27 08:05:28.000000000,2024-02-27 09:00:36,0 days 00:55:08,114.26844014510279,2024-02-27,CAT 320
CAT 320-1,3CAT1,175,2024-02-27 16:11:04.000000000,2024-02-27 17:03:18,0 days 00:52:14,201.02105934907468,2024-02-27,CAT 320
CAT 320-1,4CAT1,219,2024-02-28 10:28:40.000000000,2024-02-28 11:40:33,0 days 01:11:53,182.79619754231393,2024-02-28,CAT 320
CAT 320-1,5CAT1,30,2024-02-29 14:57:55.000000000,2024-02-29 15:08:15,0 days 00:10:20,174.19354838709677,2024-02-29,CAT 320
CAT 320-1,6CAT1,157,2024-03-01 13:52:57.000000000,2024-03-01 14:46:37,0 days 00:53:40,175.527950310559,2024-03-01,CAT 320
CAT 320-1,7CAT1,207,2024-03-11 10:23:01.000000000,2024-03-11 11:38:01,0 days 01:15:00,165.6,2024-03-11,CAT 320
CAT 320-1,8CAT1,24,2024-03-12 10:24:40.000000000,2024-03-12 10:27:31,0 days 00:02:51,505.2631578947368,2024-03-12,CAT 320
CAT 320-1,9CAT1,144,2024-03-13 14:29:48.000000000,2024-03-13 15:13:18,0 days 00:43:30,198.6206896551724,2024-03-13,CAT 320
CAT 320-2,1CAT2,207,2024-02-25 08:12:51.000000000,2024-02-25 09:23:39,0 days 01:10:48,175.42372881355934,2024-02-25,CAT 320
CAT 320-2,2CAT2,15,2024-02-27 09:00:58.000000000,2024-02-27 09:10:49,0 days 00:09:51,91.37055837563452,2024-02-27,CAT 320
CAT 320-2,3CAT2,153,2024-02-28 20:07:03.000000000,2024-02-28 21:03:44,0 days 00:56:41,161.9523669508968,2024-02-28,CAT 320
CAT 320-2,4CAT2,55,2024-04-22 14:28:00.000000000,2024-04-22 15:00:00,0 days 00:32:00,103.125,2024-04-22,CAT 320
CAT 320-2,5CAT2,69,2024-08-05 08:51:50.000000000,2024-08-05 09:21:56,0 days 00:30:06,137.54152823920265,2024-08-05,CAT 320
CAT 320-2,6CAT2,48,2024-08-29 15:29:28.000000000,2024-08-29 16:05:36,0 days 00:36:08,79.70479704797047,2024-08-29,CAT 320
CAT 320-2,7CAT2,30,2024-10-17 10:00:35.000000000,2024-10-17 10:37:26,0 days 00:36:51,48.846675712347356,2024-10-17,CAT 320
CAT 336-3,10CAT3,117,2024-05-07 14:11:28.000000000,2024-05-07 14:33:30,0 days 00:22:02,318.6081694402421,2024-05-07,CAT 336
CAT 336-3,11CAT3,222,2024-05-08 09:14:43.000000000,2024-05-08 10:13:01,0 days 00:58:18,228.47341337907375,2024-05-08,CAT 336
CAT 336-3,12CAT3,57,2024-05-08 13:36:30.000000000,2024-05-08 13:52:28,0 days 00:15:58,214.19624217118997,2024-05-08,CAT 336
CAT 336-3,13CAT3,213,2024-05-08 16:26:49.000000000,2024-05-08 17:13:10,0 days 00:46:21,275.7281553398058,2024-05-08,CAT 336
CAT 336-3,14CAT3,54,2024-05-09 10:28:54.000000000,2024-05-09 10:40:30,0 days 00:11:36,279.3103448275862,2024-05-09,CAT 336
CAT 336-3,15CAT3,72,2024-05-10 13:40:50.000000000,2024-05-10 13:59:16,0 days 00:18:26,234.35804701627487,2024-05-10,CAT 336
CAT 336-3,16CAT3,153,2024-05-10 16:30:53.000000000,2024-05-10 17:09:55,0 days 00:39:02,235.18360375747224,2024-05-10,CAT 336
CAT 336-3,17CAT3,255,2024-05-11 07:48:06.000000000,2024-05-11 09:50:51,0 days 02:02:45,124.64358452138492,2024-05-11,CAT 336
CAT 336-3,18CAT3,138,2024-05-13 09:08:10.000000000,2024-05-13 09:52:45,0 days 00:44:35,185.7196261682243,2024-05-13,CAT 336
CAT 336-3,19CAT3,303,2024-05-14 09:57:55.000000000,2024-05-14 11:03:24,0 days 01:05:29,277.6278951387121,2024-05-14,CAT 336
CAT 336-3,20CAT3,66,2024-05-17 14:19:47.000000000,2024-05-17 14:36:05,0 days 00:16:18,242.94478527607362,2024-05-17,CAT 336
CAT 336-3,21CAT3,108,2024-05-18 07:44:56.000000000,2024-05-18 08:25:01,0 days 00:40:05,161.66320166320168,2024-05-18,CAT 336
CAT 336-3,22CAT3,105,2024-05-18 13:34:04.000000000,2024-05-18 13:56:54,0 days 00:22:50,275.9124087591241,2024-05-18,CAT 336
CAT 336-3,23CAT3,1386,2024-05-31 08:44:00.000000000,2024-05-31 16:10:00,0 days 07:26:00,186.457399103139,2024-05-31,CAT 336
CAT 336-3,24CAT3,276,2024-06-18 08:13:34.000000000,2024-06-18 09:19:04,0 days 01:05:30,252.82442748091603,2024-06-18,CAT 336
CAT 336-3,25CAT3,358,2024-06-20 08:34:47.000000000,2024-06-20 10:01:20,0 days 01:26:33,248.18024263431542,2024-06-20,CAT 336
CAT 336-3,26CAT3,184,2024-08-02 08:10:51.000000000,2024-08-02 09:15:50,0 days 01:04:59,169.88971531161837,2024-08-02,CAT 336
CAT 336-3,27CAT3,310,2024-08-02 13:27:22.000000000,2024-08-02 15:14:20,0 days 01:46:58,173.88594577750078,2024-08-02,CAT 336
CAT 336-3,28CAT3,358,2024-08-03 07:29:59.000000000,2024-08-03 09:00:15,0 days 01:30:16,237.9615952732644,2024-08-03,CAT 336
CAT 336-3,29CAT3,169,2024-08-03 13:24:57.000000000,2024-08-03 14:57:10,0 days 01:32:13,109.95843123079703,2024-08-03,CAT 336
CAT 336-3,2CAT3,283,2024-04-15 13:41:08.000000000,2024-04-15 14:22:14,0 days 00:41:06,413.13868613138686,2024-04-15,CAT 336
CAT 336-3,30CAT3,298,2024-08-04 08:06:54.000000000,2024-08-04 10:14:00,0 days 02:07:06,140.67663257277735,2024-08-04,CAT 336
CAT 336-3,31CAT3,193,2024-08-05 08:46:25.000000000,2024-08-05 10:02:49,0 days 01:16:24,151.57068062827224,2024-08-05,CAT 336
CAT 336-3,32CAT3,190,2024-08-10 07:07:58.000000000,2024-08-10 08:40:43,0 days 01:32:45,122.911051212938,2024-08-10,CAT 336
CAT 336-3,33CAT3,90,2024-08-13 13:24:08.000000000,2024-08-13 13:52:20,0 days 00:28:12,191.48936170212767,2024-08-13,CAT 336
CAT 336-3,34CAT3,454,2024-08-25 07:54:21.000000000,2024-08-25 11:38:19,0 days 03:43:58,121.62524185146599,2024-08-25,CAT 336
CAT 336-3,35CAT3,244,2024-08-27 14:38:54.000000000,2024-08-27 16:54:06,0 days 02:15:12,108.28402366863905,2024-08-27,CAT 336
CAT 336-3,36CAT3,288,2024-08-29 14:40:14.000000000,2024-08-29 16:29:58,0 days 01:49:44,157.4726609963548,2024-08-29,CAT 336
CAT 336-3,3CAT3,15,2024-04-16 09:21:45.000000000,2024-04-16 09:25:03,0 days 00:03:18,272.72727272727275,2024-04-16,CAT 336
CAT 336-3,4CAT3,159,2024-04-25 08:32:40.000000000,2024-04-25 09:27:08,0 days 00:54:28,175.15299877600978,2024-04-25,CAT 336
CAT 336-3,5CAT3,51,2024-04-26 08:46:04.000000000,2024-04-26 08:52:51,0 days 00:06:47,451.10565110565113,2024-04-26,CAT 336
CAT 336-3,6CAT3,66,2024-04-26 13:46:24.000000000,2024-04-26 14:01:43,0 days 00:15:19,258.5418933623504,2024-04-26,CAT 336
CAT 336-3,7CAT3,147,2024-04-27 14:49:02.000000000,2024-04-27 16:04:19,0 days 01:15:17,117.1574053575382,2024-04-27,CAT 336
CAT 336-3,8CAT3,141,2024-05-03 07:44:00.000000000,2024-05-03 08:39:49,0 days 00:55:49,151.56763212899372,2024-05-03,CAT 336
CAT 336-3,9CAT3,135,2024-05-07 08:05:08.000000000,2024-05-07 08:41:50,0 days 00:36:42,220.70844686648502,2024-05-07,CAT 336
CAT 336-8,1CAT8,334,2024-08-10 07:05:58.000000000,2024-08-10 08:36:43,0 days 01:30:45,220.82644628099175,2024-08-10,CAT 336
CAT 336-8,2CAT8,24,2024-08-13 13:10:21.000000000,2024-08-13 13:14:07,0 days 00:03:46,382.3008849557522,2024-08-13,CAT 336
CAT 336-8,3CAT8,443,2024-08-17 13:15:29.000000000,2024-08-17 14:42:29,0 days 01:27:00,305.51724137931035,2024-08-17,CAT 336
CAT 336-8,4CAT8,345,2024-08-27 14:38:53.000000000,2024-08-27 16:49:15,0 days 02:10:22,158.7829199693173,2024-08-27,CAT 336
CAT 336-8,5CAT8,291,2024-08-29 14:36:23.000000000,2024-08-29 16:35:06,0 days 01:58:43,147.07286255791098,2024-08-29,CAT 336
CAT 336-8,6CAT8,303,2024-10-17 09:25:52.000000000,2024-10-17 10:43:03,0 days 01:17:11,235.54307924854243,2024-10-17,CAT 336
CAT 349-6,10CAT6,334,2024-02-28 20:04:41.000000000,2024-02-28 21:02:32,0 days 00:57:51,346.41313742437336,2024-02-28,CAT 349
CAT 349-6,11CAT6,160,2024-02-29 20:39:57.000000000,2024-02-29 21:33:19,0 days 00:53:22,179.88757026858212,2024-02-29,CAT 349
CAT 349-6,12CAT6,87,2024-03-01 10:22:02.000000000,2024-03-01 11:37:18,0 days 01:15:16,69.35341009743135,2024-03-01,CAT 349
CAT 349-6,13CAT6,139,2024-03-01 13:54:37.000000000,2024-03-01 14:36:06,0 days 00:41:29,201.04459622338288,2024-03-01,CAT 349
CAT 349-6,14CAT6,183,2024-03-02 15:36:49.000000000,2024-03-02 16:25:36,0 days 00:48:47,225.07687051588658,2024-03-02,CAT 349
CAT 349-6,15CAT6,72,2024-03-04 23:42:17.000000000,2024-03-05 00:08:32,0 days 00:26:15,164.57142857142858,2024-03-04,CAT 349
CAT 349-6,16CAT6,262,2024-03-06 08:13:39.000000000,2024-03-06 09:16:55,0 days 01:03:16,248.47207586933615,2024-03-06,CAT 349
CAT 349-6,17CAT6,341,2024-03-11 09:31:52.000000000,2024-03-11 11:32:59,0 days 02:01:07,168.92803082427412,2024-03-11,CAT 349
CAT 349-6,18CAT6,376,2024-03-12 09:32:51.000000000,2024-03-12 10:48:59,0 days 01:16:08,296.32224168126095,2024-03-12,CAT 349
CAT 349-6,19CAT6,192,2024-03-18 10:44:10.000000000,2024-03-18 11:36:43,0 days 00:52:33,219.2197906755471,2024-03-18,CAT 349
